attention,blinkStrength,delta,highAlpha,highBeta,highGamma,lowAlpha,lowBeta,lowGamma,meditation,theta,label
30,0,2762422,35404,14521,6840,94396,23451,12945,44,233925,0
40,0,108401,19122,7979,5216,5236,11972,3451,47,75999,0
40,77,108401,19122,7979,5216,5236,11972,3451,47,75999,0
40,81,108401,19122,7979,5216,5236,11972,3451,47,75999,0
40,0,72116,29133,24344,1047,8295,9466,1943,43,59044,0
43,0,111170,10038,21693,3199,214874,32839,10641,57,78258,0
54,0,220596,29503,16207,2058,60533,20414,8069,63,74999,0
54,72,220596,29503,16207,2058,60533,20414,8069,63,74999,0
54,80,220596,29503,16207,2058,60533,20414,8069,63,74999,0
69,0,219637,8116,16563,978,22383,5047,1861,69,28338,0
69,0,219637,8116,16563,978,22383,5047,1861,69,28338,0
69,0,219637,8116,16563,978,22383,5047,1861,69,28338,0
67,0,40048,12766,30495,4492,43670,10005,7230,70,68811,0
66,0,578152,133788,13491,10136,35028,59881,6291,69,69075,0
66,73,578152,133788,13491,10136,35028,59881,6291,69,69075,0
66,84,578152,133788,13491,10136,35028,59881,6291,69,69075,0
60,0,78168,3144,874,190,3548,1765,142,67,7734,0
41,0,1189684,48748,16519,4523,25820,13852,11599,63,199225,0
27,0,1088370,48463,36451,9060,64050,32494,8508,56,359324,0
27,96,1088370,48463,36451,9060,64050,32494,8508,56,359324,0
27,98,1088370,48463,36451,9060,64050,32494,8508,56,359324,0
37,0,2243430,7374,14259,1591,23582,21810,3301,44,83879,0
40,0,219263,26948,12031,5629,18599,22645,6112,38,113995,0
40,67,219263,26948,12031,5629,18599,22645,6112,38,113995,0
53,0,440138,31098,15968,6391,9960,83393,16672,37,38003,0
53,83,440138,31098,15968,6391,9960,83393,16672,37,38003,0
37,0,277474,17556,8914,5679,10999,5643,4187,47,113816,0
37,81,277474,17556,8914,5679,10999,5643,4187,47,113816,0
37,0,277474,17556,8914,5679,10999,5643,4187,47,113816,0
37,0,277474,17556,8914,5679,10999,5643,4187,47,113816,0
44,0,3109300,35617,48951,7119,28125,28806,10221,43,276069,0
44,78,3109300,35617,48951,7119,28125,28806,10221,43,276069,0
35,0,131210,41982,10779,6195,25044,8596,6187,53,47837,0
60,0,46908,23049,19937,4038,25180,38274,13559,50,18240,0
60,84,46908,23049,19937,4038,25180,38274,13559,50,18240,0
60,80,46908,23049,19937,4038,25180,38274,13559,50,18240,0
51,0,1266438,23707,9095,6352,28142,26719,5152,51,174391,0
50,0,823187,72342,22088,1785,47765,26558,6763,44,170864,0
50,74,823187,72342,22088,1785,47765,26558,6763,44,170864,0
50,89,823187,72342,22088,1785,47765,26558,6763,44,170864,0
47,0,94513,1257,4339,608,1831,3458,581,30,18593,0
37,0,348869,42463,9751,3363,15796,33561,7263,37,145582,0
30,0,308620,56974,5008,5291,73244,20752,13399,51,57163,0
30,69,308620,56974,5008,5291,73244,20752,13399,51,57163,0
30,80,308620,56974,5008,5291,73244,20752,13399,51,57163,0
20,0,287258,19223,3945,3070,1876,18258,1156,40,109880,0
20,0,287258,19223,3945,3070,1876,18258,1156,40,109880,0
20,0,287258,19223,3945,3070,1876,18258,1156,40,109880,0
7,0,1908584,4041,10341,5363,4554,27798,3290,30,158154,0
17,0,266644,61058,24630,4769,20908,49120,7478,35,108767,0
17,74,266644,61058,24630,4769,20908,49120,7478,35,108767,0
17,88,266644,61058,24630,4769,20908,49120,7478,35,108767,0
26,0,994047,31432,46898,9183,39604,25200,7747,8,872193,0
35,0,81883,26572,9244,2397,26614,9280,6291,17,83793,0
35,73,81883,26572,9244,2397,26614,9280,6291,17,83793,0
54,0,291476,8830,15003,1676,17119,21464,3438,38,26132,0
54,78,291476,8830,15003,1676,17119,21464,3438,38,26132,0
43,0,137678,3332,2374,703,5059,1529,616,30,39715,0
50,0,66725,10196,13217,5673,68649,28527,5620,51,66079,0
50,86,66725,10196,13217,5673,68649,28527,5620,51,66079,0
48,0,362283,60475,25771,5474,79086,22858,10627,50,291016,0
48,83,362283,60475,25771,5474,79086,22858,10627,50,291016,0
53,0,535567,29981,37744,2603,23133,32535,4621,50,36770,0
67,0,1478406,9018,22637,3085,62659,20829,7044,63,43499,0
67,66,1478406,9018,22637,3085,62659,20829,7044,63,43499,0
67,92,1478406,9018,22637,3085,62659,20829,7044,63,43499,0
67,0,1478406,9018,22637,3085,62659,20829,7044,63,43499,0
67,0,1478406,9018,22637,3085,62659,20829,7044,63,43499,0
70,0,264524,9328,9451,1099,39175,12314,1668,64,34901,0
70,95,264524,9328,9451,1099,39175,12314,1668,64,34901,0
70,99,264524,9328,9451,1099,39175,12314,1668,64,34901,0
60,0,107048,6841,8503,1579,32082,4762,3284,61,122236,0
66,0,847086,10900,24902,2425,22699,20088,6288,51,96779,0
66,0,450947,44694,28122,3668,41982,14153,4091,57,22937,0
66,90,450947,44694,28122,3668,41982,14153,4091,57,22937,0
66,75,450947,44694,28122,3668,41982,14153,4091,57,22937,0
56,0,111317,4821,2192,654,1621,5080,223,44,27379,0
57,0,513194,29715,16086,5502,16569,29968,4511,41,208914,0
27,0,764870,182040,11729,4512,213614,106594,8771,50,478911,0
27,70,764870,182040,11729,4512,213614,106594,8771,50,478911,0
27,84,764870,182040,11729,4512,213614,106594,8771,50,478911,0
20,0,331267,9487,11091,1993,9823,7484,1982,34,81810,0
20,0,331267,9487,11091,1993,9823,7484,1982,34,81810,0
20,0,331267,9487,11091,1993,9823,7484,1982,34,81810,0
23,0,145997,3439,2316,1096,24940,6105,1392,53,8135,0
23,73,145997,3439,2316,1096,24940,6105,1392,53,8135,0
26,0,238263,40138,21063,7460,160695,90853,4935,67,97440,0
26,87,238263,40138,21063,7460,160695,90853,4935,67,97440,0
50,0,886630,7884,5011,338,19214,9159,481,67,25723,0
48,0,50538,36500,11023,6506,12551,18266,4227,77,72324,0
48,84,50538,36500,11023,6506,12551,18266,4227,77,72324,0
53,0,644469,33304,37554,9027,27669,29443,10698,56,314835,0
53,82,644469,33304,37554,9027,27669,29443,10698,56,314835,0
54,0,1799147,53701,23288,18341,13538,38763,13734,43,224481,0
56,0,1152553,24069,24210,3097,44298,8639,5245,38,143164,0
56,68,1152553,24069,24210,3097,44298,8639,5245,38,143164,0
56,85,1152553,24069,24210,3097,44298,8639,5245,38,143164,0
66,0,839000,69624,57780,2787,48335,37970,13265,38,173807,0
66,45,839000,69624,57780,2787,48335,37970,13265,38,173807,0
67,0,82817,2320,1174,569,2431,667,927,50,5578,0
57,0,1784033,17248,13515,23293,26746,42651,15226,43,330483,0
57,86,1784033,17248,13515,23293,26746,42651,15226,43,330483,0
57,76,1784033,17248,13515,23293,26746,42651,15226,43,330483,0
57,0,1784033,17248,13515,23293,26746,42651,15226,43,330483,0
57,0,1784033,17248,13515,23293,26746,42651,15226,43,330483,0
51,0,394700,5174,10385,2024,65181,1982,2600,48,98879,0
35,0,182943,6701,3955,1351,25720,4576,2409,51,47200,0
30,0,258190,10613,6299,659,5031,16713,2828,30,40383,0
30,95,258190,10613,6299,659,5031,16713,2828,30,40383,0
30,61,258190,10613,6299,659,5031,16713,2828,30,40383,0
30,43,258190,10613,6299,659,5031,16713,2828,30,40383,0
30,45,258190,10613,6299,659,5031,16713,2828,30,40383,0
30,36,258190,10613,6299,659,5031,16713,2828,30,40383,0
27,0,181583,13805,3752,1362,13254,9385,4743,30,51178,0
27,32,181583,13805,3752,1362,13254,9385,4743,30,51178,0
27,36,181583,13805,3752,1362,13254,9385,4743,30,51178,0
27,40,181583,13805,3752,1362,13254,9385,4743,30,51178,0
27,34,181583,13805,3752,1362,13254,9385,4743,30,51178,0
27,32,181583,13805,3752,1362,13254,9385,4743,30,51178,0
29,0,130805,64370,5278,1692,8682,8502,800,44,57380,0
29,32,130805,64370,5278,1692,8682,8502,800,44,57380,0
29,65,130805,64370,5278,1692,8682,8502,800,44,57380,0
17,0,1035115,84640,17608,8018,28441,39154,4734,48,357846,0
17,63,1035115,84640,17608,8018,28441,39154,4734,48,357846,0
17,68,1035115,84640,17608,8018,28441,39154,4734,48,357846,0
17,42,1035115,84640,17608,8018,28441,39154,4734,48,357846,0
17,32,1035115,84640,17608,8018,28441,39154,4734,48,357846,0
17,34,1035115,84640,17608,8018,28441,39154,4734,48,357846,0
10,0,932399,118588,27048,5583,62099,28006,19269,53,428692,0
10,34,932399,118588,27048,5583,62099,28006,19269,53,428692,0
10,31,932399,118588,27048,5583,62099,28006,19269,53,428692,0
10,33,932399,118588,27048,5583,62099,28006,19269,53,428692,0
10,36,932399,118588,27048,5583,62099,28006,19269,53,428692,0
10,32,932399,118588,27048,5583,62099,28006,19269,53,428692,0
16,0,965127,125786,21385,5074,30331,10864,6063,66,65517,0
16,0,965127,125786,21385,5074,30331,10864,6063,66,65517,0
16,0,965127,125786,21385,5074,30331,10864,6063,66,65517,0
16,52,965127,125786,21385,5074,30331,10864,6063,66,65517,0
29,0,2043301,136033,44936,2818,3128,19663,6475,63,117892,0
29,31,2043301,136033,44936,2818,3128,19663,6475,63,117892,0
29,82,2043301,136033,44936,2818,3128,19663,6475,63,117892,0
29,62,2043301,136033,44936,2818,3128,19663,6475,63,117892,0
29,41,2043301,136033,44936,2818,3128,19663,6475,63,117892,0
29,31,2043301,136033,44936,2818,3128,19663,6475,63,117892,0
29,31,2043301,136033,44936,2818,3128,19663,6475,63,117892,0
29,33,2043301,136033,44936,2818,3128,19663,6475,63,117892,0
29,35,2043301,136033,44936,2818,3128,19663,6475,63,117892,0
29,33,2043301,136033,44936,2818,3128,19663,6475,63,117892,0
29,39,2043301,136033,44936,2818,3128,19663,6475,63,117892,0
29,0,1310889,873763,79951,17725,98021,83770,23038,63,1184609,0
29,42,1310889,873763,79951,17725,98021,83770,23038,63,1184609,0
29,31,1310889,873763,79951,17725,98021,83770,23038,63,1184609,0
29,40,1310889,873763,79951,17725,98021,83770,23038,63,1184609,0
29,33,1310889,873763,79951,17725,98021,83770,23038,63,1184609,0
29,33,1310889,873763,79951,17725,98021,83770,23038,63,1184609,0
29,34,1310889,873763,79951,17725,98021,83770,23038,63,1184609,0
21,0,2908793,795321,79442,34497,80618,60541,27078,56,831614,0
21,78,2908793,795321,79442,34497,80618,60541,27078,56,831614,0
21,51,2908793,795321,79442,34497,80618,60541,27078,56,831614,0
21,37,2908793,795321,79442,34497,80618,60541,27078,56,831614,0
21,36,2908793,795321,79442,34497,80618,60541,27078,56,831614,0
21,34,2908793,795321,79442,34497,80618,60541,27078,56,831614,0
14,0,217988,64693,10948,4320,8347,11352,2514,57,52689,0
14,31,217988,64693,10948,4320,8347,11352,2514,57,52689,0
14,52,217988,64693,10948,4320,8347,11352,2514,57,52689,0
24,0,981240,54065,23168,6879,21242,60630,13813,67,123280,0
24,34,981240,54065,23168,6879,21242,60630,13813,67,123280,0
24,33,981240,54065,23168,6879,21242,60630,13813,67,123280,0
24,32,981240,54065,23168,6879,21242,60630,13813,67,123280,0
24,40,981240,54065,23168,6879,21242,60630,13813,67,123280,0
24,46,981240,54065,23168,6879,21242,60630,13813,67,123280,0
37,0,737857,66960,41835,4222,36500,27272,3936,61,237661,0
37,97,737857,66960,41835,4222,36500,27272,3936,61,237661,0
37,85,737857,66960,41835,4222,36500,27272,3936,61,237661,0
37,36,737857,66960,41835,4222,36500,27272,3936,61,237661,0
37,0,831369,45164,4838,1453,19389,17190,5227,61,46775,0
37,38,831369,45164,4838,1453,19389,17190,5227,61,46775,0
37,33,831369,45164,4838,1453,19389,17190,5227,61,46775,0
26,0,1435677,181707,20412,6070,40039,17098,3184,53,507402,0
26,35,1435677,181707,20412,6070,40039,17098,3184,53,507402,0
26,43,1435677,181707,20412,6070,40039,17098,3184,53,507402,0
26,34,1435677,181707,20412,6070,40039,17098,3184,53,507402,0
26,82,1435677,181707,20412,6070,40039,17098,3184,53,507402,0
8,0,34433,41935,3979,1694,10336,5384,2030,48,190826,0
8,0,34433,41935,3979,1694,10336,5384,2030,48,190826,0
8,0,34433,41935,3979,1694,10336,5384,2030,48,190826,0
8,76,34433,41935,3979,1694,10336,5384,2030,48,190826,0
8,35,34433,41935,3979,1694,10336,5384,2030,48,190826,0
8,33,34433,41935,3979,1694,10336,5384,2030,48,190826,0
8,39,34433,41935,3979,1694,10336,5384,2030,48,190826,0
8,32,34433,41935,3979,1694,10336,5384,2030,48,190826,0
8,34,34433,41935,3979,1694,10336,5384,2030,48,190826,0
8,33,34433,41935,3979,1694,10336,5384,2030,48,190826,0
8,31,34433,41935,3979,1694,10336,5384,2030,48,190826,0
1,0,108360,34227,2356,699,2495,1397,1677,37,61657,0
1,32,108360,34227,2356,699,2495,1397,1677,37,61657,0
1,39,108360,34227,2356,699,2495,1397,1677,37,61657,0
1,84,108360,34227,2356,699,2495,1397,1677,37,61657,0
8,0,738615,27639,30720,7013,80755,47586,8475,35,274519,0
8,37,738615,27639,30720,7013,80755,47586,8475,35,274519,0
8,34,738615,27639,30720,7013,80755,47586,8475,35,274519,0
30,0,1865373,36423,28996,8751,15378,41612,7323,37,96089,0
30,34,1865373,36423,28996,8751,15378,41612,7323,37,96089,0
30,35,1865373,36423,28996,8751,15378,41612,7323,37,96089,0
30,38,1865373,36423,28996,8751,15378,41612,7323,37,96089,0
30,39,1865373,36423,28996,8751,15378,41612,7323,37,96089,0
30,31,1865373,36423,28996,8751,15378,41612,7323,37,96089,0
30,34,1865373,36423,28996,8751,15378,41612,7323,37,96089,0
30,32,1865373,36423,28996,8751,15378,41612,7323,37,96089,0
30,31,1865373,36423,28996,8751,15378,41612,7323,37,96089,0
27,0,1789456,214823,30430,1668,44175,16387,6009,50,394940,0
27,33,1789456,214823,30430,1668,44175,16387,6009,50,394940,0
27,95,1789456,214823,30430,1668,44175,16387,6009,50,394940,0
41,0,700544,48783,22273,9682,51650,28398,3265,50,116466,0
41,33,700544,48783,22273,9682,51650,28398,3265,50,116466,0
41,32,700544,48783,22273,9682,51650,28398,3265,50,116466,0
